timestamp,gx,gy,gz,B,raw,label
1774146145.784925,8.737867,-0.214933,2.233067,9.021259,"8.737867,-0.214933,2.233067,9.021259",touch
1774146145.8095691,8.737867,-0.135467,2.2336,9.019846,"8.737867,-0.135467,2.233600,9.019846",touch
1774146145.834229,8.737867,-0.417333,2.228267,9.027162,"8.737867,-0.417333,2.228267,9.027162",touch
1774146145.858897,8.737867,-0.381333,2.228,9.025504,"8.737867,-0.381333,2.228000,9.025504",touch
1774146145.883643,8.737867,-0.247467,2.222667,9.019524,"8.737867,-0.247467,2.222667,9.019524",touch
1774146145.9118872,8.737867,-0.4504,2.259467,9.036501,"8.737867,-0.450400,2.259467,9.036501",touch
1774146145.9365928,8.737867,-0.201867,2.282933,9.03343,"8.737867,-0.201867,2.282933,9.033430",touch
1774146145.961298,8.737867,-0.201067,2.281867,9.033143,"8.737867,-0.201067,2.281867,9.033143",touch
1774146145.986288,8.737867,-0.672533,2.2544,9.04903,"8.737867,-0.672533,2.254400,9.049030",touch
1774146146.0109608,8.737867,-0.609067,2.2568,9.045133,"8.737867,-0.609067,2.256800,9.045133",touch
1774146146.069422,8.737867,-0.475467,2.268,9.039923,"8.737867,-0.475467,2.268000,9.039923",touch
1774146146.069835,8.737867,-0.399467,2.272267,9.037317,"8.737867,-0.399467,2.272267,9.037317",touch
1774146147.473162,8.737867,-0.285867,2.2904,9.037587,"8.737867,-0.285867,2.290400,9.037587",touch
1774146147.484916,8.737867,-0.559467,2.275467,9.046606,"8.737867,-0.559467,2.275467,9.046606",touch
1774146147.509562,8.737867,-0.096,2.265867,9.027385,"8.737867,-0.096000,2.265867,9.027385",touch
1774146147.537965,8.737867,-0.3224,2.289333,9.038546,"8.737867,-0.322400,2.289333,9.038546",touch
1774146147.562593,8.737867,-0.3856,2.283733,9.039605,"8.737867,-0.385600,2.283733,9.039605",touch
1774146147.58733,8.737867,-0.148,2.301867,9.037191,"8.737867,-0.148000,2.301867,9.037191",touch
1774146147.612057,8.737867,-0.082933,2.313333,9.039287,"8.737867,-0.082933,2.313333,9.039287",touch
1774146147.636724,8.737867,-0.185333,2.2968,9.03659,"8.737867,-0.185333,2.296800,9.036590",touch
1774146147.664963,8.737867,-0.473333,2.285867,9.044311,"8.737867,-0.473333,2.285867,9.044311",touch
1774146147.689717,8.737867,-0.613333,2.2776,9.050633,"8.737867,-0.613333,2.277600,9.050633",touch
1774146147.7144582,8.737867,-0.401333,2.289067,9.041638,"8.737867,-0.401333,2.289067,9.041638",touch
1774146147.7391942,8.737867,-0.485867,2.236533,9.032633,"8.737867,-0.485867,2.236533,9.032633",touch
1774146147.7637482,8.737867,-0.258933,2.2448,9.025325,"8.737867,-0.258933,2.244800,9.025325",touch
1774146147.834719,8.737867,-0.3144,2.283733,9.036847,"8.737867,-0.314400,2.283733,9.036847",touch
1774146147.839023,8.737867,-0.352,2.288533,9.039447,"8.737867,-0.352000,2.288533,9.039447",touch
1774146147.841392,8.737867,-0.421067,2.2888,9.042468,"8.737867,-0.421067,2.288800,9.042468",touch
1774146147.865897,8.737867,-0.226933,2.292533,9.036456,"8.737867,-0.226933,2.292533,9.036456",touch
1774146147.89048,8.737867,-0.258933,2.253867,9.027585,"8.737867,-0.258933,2.253867,9.027585",touch
1774146147.918858,8.737867,-0.461067,2.249867,9.034645,"8.737867,-0.461067,2.249867,9.034645",touch
1774146147.943509,8.737867,-0.836,2.270133,9.066572,"8.737867,-0.836000,2.270133,9.066572",touch
1774146147.9682949,8.737867,-0.7424,2.2752,9.059692,"8.737867,-0.742400,2.275200,9.059692",touch
1774146147.992898,8.737867,-0.377867,2.292267,9.041438,"8.737867,-0.377867,2.292267,9.041438",touch
1774146148.021158,8.737867,-0.381867,2.2952,9.042349,"8.737867,-0.381867,2.295200,9.042349",touch
1774146148.0459,8.737867,-0.491467,2.285333,9.045143,"8.737867,-0.491467,2.285333,9.045143",touch
1774146148.070684,8.737867,-0.4144,2.296533,9.04412,"8.737867,-0.414400,2.296533,9.044120",touch
1774146148.0954418,8.737867,-0.5024,2.295467,9.048309,"8.737867,-0.502400,2.295467,9.048309",touch
1774146148.12001,8.737867,-0.550933,2.284,9.048233,"8.737867,-0.550933,2.284000,9.048233",touch
